,date,gender,age,lat,lng,url
4551,2013-05-09,M,45.0,45.6306954,-122.6744557,http://www.columbian.com/news/2013/may/11/police-release-name-man-shot-death-thursday-vancou/
4552,2013-05-09,M,36.0,34.2484331,-83.9748056,http://www.11alive.com/news/article/292118/3/2-killed-in-Monroe-County-double-shooting
4553,2013-05-09,M,40.0,34.2484331,-83.9748056,http://www.11alive.com/news/article/292118/3/2-killed-in-Monroe-County-double-shooting
4554,2013-05-09,M,19.0,34.1083449,-117.2897652,http://www.pe.com/local-news/san-bernardino-county/san-bernardino-county-headlines-index/20130514-san-bernardino-murder-suspect-killed-in-shootout-identified.ece
4555,2013-05-09,M,,29.8340363,-95.38663296072279,http://abclocal.go.com/ktrk/story?id=9097367
4556,2013-05-09,M,43.0,36.0006178,-88.4281063,http://mckenziebanner.com/main.asp?SectionID=3&SubSectionID=28&ArticleID=1275
4557,2013-05-09,F,46.0,36.0006178,-88.4281063,http://mckenziebanner.com/main.asp?SectionID=3&SubSectionID=28&ArticleID=1275
4558,2013-05-10,M,18.0,35.1490215,-90.0516285,http://www.commercialappeal.com/news/2013/may/13/crime-report/?CID=happeningnow
4559,2013-05-10,M,33.0,34.0536781,-118.2427025,http://projects.latimes.com/homicide/post/kenny-jermaine-fulks/
4560,2013-05-10,M,22.0,26.7056206,-80.0364297,http://www.wpbf.com/news/south-florida/Palm-Beach-County-News/3-shot-in-west-palm-beach/-/8815578/20100948/-/pa496iz/-/index.html
4561,2013-05-10,M,24.0,26.7056206,-80.0364297,http://www.wpbf.com/news/south-florida/Palm-Beach-County-News/3-shot-in-west-palm-beach/-/8815578/20100948/-/pa496iz/-/index.html
4562,2013-05-10,M,27.0,41.6303103,-87.8539425,http://www.suntimes.com/news/metro/20020807-418/man-shot-during-home-invasion-in-orland-park.html
4563,2013-05-10,M,18.0,34.7309642,-92.27611273323879,http://www.thv11.com/news/story.aspx?storyid=264445
4564,2013-05-10,M,23.0,44.9772995,-93.2654692,http://minnesota.cbslocal.com/2013/05/14/charges-minneapolis-man-shot-killed-man-in-front-of-4-kids/
4565,2013-05-10,M,28.0,32.77317,-97.53604494550609,http://www.star-telegram.com/2013/05/14/4848855/fort-worth-road-rage-victim-identified.html
4566,2013-05-10,M,21.0,37.9755365,-121.793642692233,http://www.contracostatimes.com/ci_23356060/attorney-demands-outside-agency-take-over-investigation-fatal
4567,2013-05-10,M,66.0,42.3486635,-83.0567375,http://www.clickondetroit.com/news/detroit-police-at-shooting-scene-outside-ophthalmology-office-on-citys-east-side/-/1719418/20096032/-/egfmv2z/-/index.html
4568,2013-05-10,M,84.0,39.6079951,-119.2518245,http://www.kolotv.com/home/headlines/New-Details-In-Fernley-Murders-207956481.html
4569,2013-05-10,F,84.0,39.6079951,-119.2518245,http://www.ktvn.com/story/22261318/lyon-authorities-identify-all-homicide-victims-charge-bean
4570,2013-05-10,M,45.0,42.4758522,-88.3059251,"http://www.chicagotribune.com/news/local/breaking/chi-fbi-agent-shoots-suspect-at-richmond-bank-20130510,0,1253872.story"
4571,2013-05-10,M,27.0,41.6397857,-87.4548466,http://www.suntimes.com/news/crime/20020807-418/shot-3-times-home-invasion-victim-chases-attackers-suspect-apparently-kills-self.html
4572,2013-05-10,M,30.0,29.9499323,-90.0701156,http://www.nola.com/crime/index.ssf/2013/05/nopd_books_suspect_in_murder_o_1.html
4573,2013-05-10,M,22.0,39.7683795,-86.1580447,http://www.theindychannel.com/news/local-news/1-killed-1-injured-in-shooting-on-indianapolis-east-side
4574,2013-05-10,M,20.0,39.7683795,-86.1580447,http://www.theindychannel.com/news/local-news/1-killed-1-injured-in-shooting-on-indianapolis-east-side
4575,2013-05-10,M,47.0,39.7042123,-86.3994387,http://www.courierpress.com/news/2013/may/12/indianapolis-man-ided-as-gunman-shot-by-fbi/
4576,2013-05-10,M,49.0,38.5025537,-90.6279044,http://www.stltoday.com/news/local/crime-and-courts/man-identified-in-fatal-shooting-by-police-in-eureka/article_356fc7c8-9577-5e30-a624-e742bbe747b4.html
4577,2013-05-10,M,20.0,43.615046,-116.2044429,http://www.ktvb.com/news/crime/Police-Victim-of-accidental-shooting-dies-killer-in-jail-207222551.html
4578,2013-05-10,M,31.0,41.1135884,-97.5977434,http://www.northplattebulletin.com/index.asp?show=news&action=readStory&storyID=25501&pageID=24
4579,2013-05-10,M,22.0,44.9772995,-93.2654692,http://minnesota.cbslocal.com/2013/05/12/suspect-in-officer-shooting-was-shot-multiple-times/
4580,2013-05-10,M,19.0,33.79274945,-84.22015371673109,http://www.wsbtv.com/news/news/local/vigil-held-teen-killed-drive-shooting/nXpfS/
4581,2013-05-10,M,35.0,28.550287,-81.59259764021981,http://articles.orlandosentinel.com/2013-05-18/news/os-homicide-arrests-winter-garden-20130517_1_winter-garden-auto-mechanic-killing
4582,2013-05-10,M,33.0,34.0501713,-118.2419714,http://www.whittierdailynews.com/news/ci_23224210/la-habra-man-suspected-harbor-gateway-triple-slaying
4583,2013-05-10,M,33.0,34.0501713,-118.2419714,http://www.whittierdailynews.com/news/ci_23224210/la-habra-man-suspected-harbor-gateway-triple-slaying
4584,2013-05-10,M,44.0,34.0501713,-118.2419714,http://www.whittierdailynews.com/news/ci_23224210/la-habra-man-suspected-harbor-gateway-triple-slaying
4585,2013-05-10,M,32.0,28.3647248,-82.1959178,http://www.abcactionnews.com/dpp/news/one-dead-in-shooting-in-dade-city
4586,2013-05-10,M,28.0,38.687172,-121.459356635708,http://www.kcra.com/news/1-found-shot-killed-in-rio-linda-home/-/11797728/20108874/-/l3ekm6z/-/index.html?absolute=true
4587,2013-05-10,F,44.0,40.4416941,-79.9900861,http://pittsburgh.cbslocal.com/2013/05/10/police-on-scene-of-possible-shooting-in-lawrenceville/
4588,2013-05-10,F,24.0,39.2908608,-76.6108073,http://data.baltimoresun.com/homicides/victim/1529/
