,names,state,males,females,lat,lng,total_deaths
2715,"Putnam County, Florida",FL,1,0,29.582303,-81.7891201973961,1
2716,"Reddick, Florida",FL,1,0,29.3666393,-82.1973184,1
2717,"Riverview, Florida",FL,3,2,27.871197,-82.3269883,5
2718,"Riviera Beach, Florida",FL,6,2,26.78912185,-80.060764032452,8
2719,"Riviera Beach , Florida",FL,1,0,26.7885659,-80.0607779211907,1
2720,"Rosewood, Florida",FL,1,0,29.2391314,-82.9320641,1
2721,"Sanford, Florida",FL,6,0,28.8117179,-81.2680328,6
2722,"Sarasota, Florida",FL,2,3,27.3364347,-82.5306527,5
2723,"Sebastian, Florida",FL,1,0,27.816415,-80.4706078,1
2724,"South Daytona, Florida",FL,1,0,29.1672435,-81.0057527286582,1
2725,"South Miami, Florida",FL,1,0,25.707688,-80.2956291826463,1
2726,"South Pasadena, Florida",FL,1,0,27.7550276,-82.7376009,1
2727,"Southport, Florida",FL,1,1,30.2893655,-85.6404834,2
2728,"Spring Hill, Florida",FL,5,0,28.4837566,-82.5337887655405,5
2729,"Springfield, Florida",FL,1,0,30.3457949,-81.6534289,1
2730,"St Marys, Florida",FL,1,0,29.4057617,-81.1938702,1
2731,"St Petersburg, Florida",FL,11,0,27.7708606,-82.6792661,11
2732,"St. Augustine, Florida",FL,1,0,29.894691,-81.314517,1
2733,"St. Cloud, Florida",FL,2,0,28.2498534,-81.2839038,2
2734,"St. Petersburg, Florida",FL,9,1,27.7708606,-82.6792661,10
2735,"Stonecrest, Florida",FL,1,1,27.976115,-81.929911,2
2736,"Sulphur Springs, Florida",FL,1,0,28.0252965,-82.4509276,1
2737,"Summerfield, Florida",FL,1,1,29.0085924,-82.0348092,2
2738,"Sunrise, Florida",FL,1,0,26.1477307,-80.32918199298841,1
2739,"Suwannee County, Florida",FL,2,0,30.1625336,-83.01330963393609,2
2740,"Taft, Florida",FL,2,0,28.42850805,-81.366551063798,2
2741,"Tallahassee, Florida",FL,5,2,30.4380832,-84.2809332,7
2742,"Tampa, Florida",FL,23,9,27.9477595,-82.458444,32
2743,"Tarpon Springs, Florida",FL,1,0,28.1480275,-82.77728239310461,1
2744,"Tequesta, Florida",FL,1,1,26.96085215,-80.0891926251699,2
2745,"Titusville, Florida",FL,2,0,28.6122187,-80.8075538,2
2746,"Town 'n Country, Florida",FL,1,1,28.0105745,-82.5773193,2
2747,"Valrico, Florida",FL,1,0,27.9487495,-82.23619951346359,1
2748,"Vero Beach, Florida",FL,2,0,27.6387163,-80.3975399,2
2749,"Volusia County, Florida",FL,2,0,29.0279842,-81.0754657,2
2750,"Walnut Hill, Florida",FL,1,0,30.8854631,-87.5099827,1
2751,"Warrington, Florida",FL,1,0,30.383306,-87.297666721556,1
2752,"Washington County, Florida",FL,1,0,30.6101045,-85.67223154063029,1
2753,"Wesley Chapel, Florida",FL,1,0,28.18651455,-82.3663866904499,1
2754,"West Palm Beach, Florida",FL,15,2,26.7153425,-80.0533746,17
2755,"West Park, Florida",FL,1,0,25.9786264,-80.18284702986338,1
2756,"Westchase, Florida",FL,1,0,28.0620403,-82.6124387674414,1
2757,"Wildwood, Florida",FL,1,1,28.865264,-82.0389743,2
2758,"Williston, Florida",FL,1,0,29.38747,-82.4467706,1
2759,"Winter Garden, Florida",FL,3,0,28.550287,-81.59259764021981,3
2760,"Winter Garden , Florida",FL,1,0,28.550287,-81.59259764021981,1
2761,"Winter Park, Florida",FL,1,0,28.600154,-81.34275672413159,1
2762,"Ybor City, Florida",FL,1,0,27.9600475,-82.4411596,1
2763,"Broward, Florida",FL,0,1,26.0572981,-80.2074402,1
2764,"Clay County, Florida",FL,0,1,29.956068,-81.82462858488209,1
2765,"Cooper City, Florida",FL,0,1,26.04722445,-80.27391179442441,1
2766,"Dania Beach, Florida",FL,0,1,26.05083015,-80.14612476252621,1
2767,"Duette, Florida",FL,0,1,27.5903135,-82.122866,1
2768,"Floral City, Florida",FL,0,1,28.7207785,-82.3080582924862,1
2769,"Fort Lauderdale , Florida",FL,0,1,26.1223084,-80.1433786,1
2770,"Jasper, Florida",FL,0,1,30.5182727,-82.94819,1
2771,"Marion County, Florida",FL,0,1,29.240728,-82.02275744793059,1
2772,"North Miami Beach, Florida",FL,0,1,25.9288015,-80.15281204600781,1
2773,"Pembroke Park, Florida",FL,0,1,25.98453385,-80.1763941591887,1
2774,"Rosemont, Florida",FL,0,1,28.60040885,-81.4320931106942,1
2775,"Royal Palm Beach, Florida",FL,0,1,26.70094605,-80.2234199479195,1
2776,"Tamarac, Florida",FL,0,2,26.20468505,-80.2710612057127,2
2777,"Winter Haven, Florida",FL,0,1,28.0222435,-81.7328568,1
2778,"Appleton, Wisconsin",WI,2,0,44.2611337,-88.4067604,2
2779,"Beloit, Wisconsin",WI,3,0,42.5083272,-89.031784,3
2780,"Big Flats, Wisconsin",WI,1,0,44.1118573,-89.8078819,1
2781,"Bristol, Wisconsin",WI,1,1,42.558908,-88.0492498,2
2782,"Dodgeville, Wisconsin",WI,1,0,42.9602743,-90.1301237,1
2783,"Elkhorn, Wisconsin",WI,1,0,42.6727927,-88.5445447,1
2784,"Fond du Lac, Wisconsin",WI,1,0,43.777669,-88.446951,1
2785,"Gordon, Wisconsin",WI,1,0,46.2468856,-91.7985218,1
2786,"Grand Chute, Wisconsin",WI,1,0,44.2659713,-88.4831357,1
2787,"Green Bay, Wisconsin",WI,2,0,44.5299412,-88.0248317,2
2788,"Hamburg, Wisconsin",WI,1,0,45.0905228,-89.8851301,1
2789,"Hayward, Wisconsin",WI,1,0,46.0129676,-91.4848728,1
2790,"Howard, Wisconsin",WI,1,0,44.5433355,-88.0880173,1
2791,"Janesville, Wisconsin",WI,1,0,42.7151854,-88.9907743,1
2792,"Juneau Co, Wisconsin",WI,1,0,43.9452035,-90.1310036576627,1
2793,"Kenosha, Wisconsin",WI,2,1,42.5846773,-87.8212263,3
2794,"MIlwaukee, Wisconsin",WI,1,0,43.0349931,-87.922497,1
2795,"Madison, Wisconsin",WI,4,2,43.074761,-89.3837613,6
